ID_start,ID_end
PEK,JNB
SIN,JNB
SYD,JNB
BKK,KMG
CAN,KMG
CKG,KMG
DMK,KMG
DXB,KMG
HGH,KMG
HKG,KMG
ICN,KMG
KUL,KMG
PEK,KMG
PVG,KMG
SHA,KMG
SIN,KMG
SZX,KMG
TPE,KMG
XIY,KMG
ADL,KUL
AKL,KUL
AMS,KUL
BKK,KUL
BOM,KUL
CAN,KUL
CDG,KUL
CGK,KUL
DEL,KUL
DMK,KUL
DOH,KUL
DXB,KUL
FRA,KUL
HGH,KUL
HKG,KUL
HND,KUL
ICN,KUL
IST,KUL
JED,KUL
KMG,KUL
LHR,KUL
MEL,KUL
MNL,KUL
PEK,KUL
PVG,KUL
SGN,KUL
SIN,KUL
SYD,KUL
SZX,KUL
TPE,KUL
ATL,LAS
BOS,LAS
CLT,LAS
DEN,LAS
DFW,LAS
EWR,LAS
FRA,LAS
IAH,LAS
ICN,LAS
JFK,LAS
LAX,LAS
LGW,LAS
LHR,LAS
MCO,LAS
MEX,LAS
MIA,LAS
ORD,LAS
PHX,LAS
SEA,LAS
SFO,LAS
YYZ,LAS
AKL,LAX
AMS,LAX
ATL,LAX
BOS,LAX
CAN,LAX
CDG,LAX
CLT,LAX
DEN,LAX
DFW,LAX
DXB,LAX
EWR,LAX
FRA,LAX
GRU,LAX
HKG,LAX
HND,LAX
IAH,LAX
ICN,LAX
IST,LAX
JED,LAX
JFK,LAX
LAS,LAX
LHR,LAX
LIM,LAX
MAD,LAX
MCO,LAX
MEL,LAX
MEX,LAX
MIA,LAX
MNL,LAX
ORD,LAX
PEK,LAX
PHX,LAX
PVG,LAX
SEA,LAX
SFO,LAX
SVO,LAX
SYD,LAX
TPE,LAX
YYZ,LAX
ALG,LGW
AMS,LGW
BCN,LGW
CDG,LGW
CMN,LGW
DXB,LGW
HRG,LGW
IST,LGW
JED,LGW
LAS,LGW
MAD,LGW
MCO,LGW
PEK,LGW
YYZ,LGW
ADD,LHR
ALG,LHR
AMS,LHR
ATL,LHR
BCN,LHR
BKK,LHR
BOM,LHR
BOS,LHR
CAI,LHR
CAN,LHR
CDG,LHR
CLT,LHR
CMN,LHR
CPT,LHR
DEL,LHR
DEN,LHR
DFW,LHR
DOH,LHR
DXB,LHR
EWR,LHR
EZE,LHR
FRA,LHR
GRU,LHR
HKG,LHR
HND,LHR
IAH,LHR
ICN,LHR
IST,LHR
JED,LHR
JFK,LHR
JNB,LHR
KUL,LHR
LAS,LHR
LAX,LHR
LOS,LHR
MAD,LHR
MEX,LHR
MIA,LHR
MNL,LHR
NBO,LHR
ORD,LHR
PEK,LHR
PHX,LHR
PVG,LHR
SEA,LHR
SFO,LHR
SIN,LHR
SVO,LHR
TUN,LHR
YYZ,LHR
AMS,LIM
ATL,LIM
BOG,LIM
CDG,LIM
CLO,LIM
DFW,LIM
EWR,LIM
EZE,LIM
GRU,LIM
IAH,LIM
JFK,LIM
